STATUS OF PROCUREMENT AND CONTRACT - PANGASINAN IRRIGATION MANAGEMENT OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2026 PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,
"as of March 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
No. of Proj.,Name of Project,Municipality,Allocation and ABC,,BID-OUT,For Bidding,Date of Bidding,AWARDED,Date of Award,Contract No.,Contract Amount,Name of Contractor,Remarks,Project Description,,,,,,,,,,,
,,,FY 2026 (Allocation),Approved Budget of the Contract,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PANGASINAN IMO,,,,,,,,,,,,,,,,,,,,,,,,,
General Appropriations Act CY 2026,,,,,,,,,,,,,,,,,,,,,,,,,
3,SAN FABIAN RIS (RESTO NIS CY 2026),SAN FABIAN,"13,500,000.00","12,795,624.84",,1,16-Mar-26,,,R1-PIMO-26-02-032,,,Bidded,"Resto NIS - Construction of Canal Lining and Structures @ Lateral AF (Sta. 0+390 
0+552.50), Lateral AF-1 (Sta. 0+007.50-0+922.70)",,,,,,,,,,,
1,Service Road of National Irrigation Systems,,"10,000,000.00",0,0,0,,0,,,0,,,,,,,,,,,,,,
1,AGNO RIS (REPAIR NIS CY 2026) - SERVICE ROAD,MALASIQUI,"10,000,000.00",,,,,,,,,,,"Service Road NIS - Concreting of Service Road, Malasiqui Lateral L, Station 5+218- 6+500, Lat. 15.955898 Long. 120.468281",,,,,,,,,,,
6,Restoration of Communal Irrigation Systems,,"45,000,000.00","35,511,501.61",5,0,,0,,,"35,346,578.68",,,,,,,,,,,,,,
1,BOBOAYA CIS (RESTO CIS CY 2026),UMINGAN,"7,000,000.00","6,623,469.92",1,,22-Dec-25,,,R1-PIMO-26-11-013,"6,590,231.57",RF FLORES CONSTRUCTION,Waiting for the SARO/ASA - For Award,"Resto CIS - Modification of Intake and Construction of Canal Lining and Structures 
( Sta. 1+975 - 2+200)",,,,,,,,,,,
2,ALIBENG CIS (RESTO CIS CY 2026),SISON,"5,000,000.00","4,743,531.93",1,,22-Dec-25,,,R1-PIMO-26-11-009,"4,715,891.27",SOLID STAR BUILDERS AND CONSTRUCTION SUPPLY,Waiting for the SARO/ASA - For Award,"Resto CIS - Construction of Canal Lining and Structures at Main Canal 
(Sta 0+106.50 - 1+148.80)",,,,,,,,,,,
3,MACAO CIS (RESTO CIS CY 2026),SISON,"5,000,000.00","4,703,761.11",1,,22-Dec-25,,,R1-PIMO-26-11-011,"4,678,255.53",SOLID STAR BUILDERS AND CONSTRUCTION SUPPLY,Waiting for the SARO/ASA - For Award,"Resto CIS - Construction of Canal Lining and Structures at Main Canal 
(Sta. 1+530.10 - 1+710) and Lateral A (Sta. 0+278.10 - 0+800)",,,,,,,,,,,
4,CONVENTO CIS (RESTO CIS CY 2026),POZORRUBIO,"7,500,000.00",,,,,,,,,,,"Resto CIS - Construction of Embankment Protection, Canal Lining and Structures 
(Sta. 0+105 - 0+220)",,,,,,,,,,,
5,ESPERANZA CABARITAN CIS (RESTO CIS CY 2026),SISON,"10,500,000.00","9,956,542.33",1,,22-Dec-25,,,R1-PIMO-26-11-010,"9,908,244.56",SOLID STAR BUILDERS AND CONSTRUCTION SUPPLY,Waiting for the SARO/ASA - For Award,"Resto CIS - Construction of Canal Lining and Structures at Main Canal 
(Sta. 2+118 - 2+320, 0+005.40 - 0+860, 0+518 - 0+735)",,,,,,,,,,,
6,PINDANGAN CIS (RESTO CIS CY 2026),SISON,"10,000,000.00","9,484,196.32",1,,22-Dec-25,,,R1-PIMO-26-11-012,"9,453,955.75",R.A MATIAS CONSTRUCTION AND DEVELOPERS INC.,Waiting for the SARO/ASA - For Award,Resto CIS - Construction of Canal Lining and Structures (Sta. 0+314 - 1+185),,,,,,,,,,,
